=======
RESULTS
=======

Duration of BST Search: 45902000  nanoseconds
Duration of AVL Search: 32935000  nanoseconds
Duration of Hash Table Search: 5016000  nanoseconds



==============
SEARCHED WORDS
==============

Words searched: 18197

358) Found the word: ManuscriptsThe		 with [1] duplicates.
359) Found the word: intention		 with [142] duplicates.
360) Found the word: 4Suggestions		 with [1] duplicates.
361) Found the word: 58General		 with [1] duplicates.
362) Found the word: introductions		 with [3] duplicates.
363) Found the word: book		 with [278] duplicates.
364) Found the word: 913The		 with [1] duplicates.
365) Found the word: 18Necessity		 with [1] duplicates.
366) Found the word: 19		 with [76] duplicates.
367) Found the word: perception		 with [36] duplicates.
368) Found the word: perspective		 with [100] duplicates.
369) Found the word: 4041The		 with [1] duplicates.
370) Found the word: line		 with [704] duplicates.
371) Found the word: object		 with [523] duplicates.
372) Found the word: existence		 with [137] duplicates.
373) Found the word: 5556How		 with [1] duplicates.
374) Found the word: conclusions		 with [35] duplicates.
375) Found the word: explained		 with [146] duplicates.
376) Found the word: 7071The		 with [1] duplicates.
377) Found the word: 7273Refraction		 with [1] duplicates.
378) Found the word: inversion		 with [7] duplicates.
379) Found the word: images		 with [126] duplicates.
380) Found the word: vertical		 with [44] duplicates.
381) Found the word: angle		 with [153] duplicates.
382) Found the word: pyramids		 with [34] duplicates.
383) Found the word: 89On		 with [1] duplicates.
384) Found the word: complex		 with [53] duplicates.
385) Found the word: apparent		 with [98] duplicates.
386) Found the word: calculation		 with [20] duplicates.
387) Found the word: natural		 with [358] duplicates.
388) Found the word: 107109		 with [2] duplicates.
389) Found the word: INTRODUCTIONProlegomena		 with [1] duplicates.
390) Found the word: 112116Different		 with [1] duplicates.
391) Found the word: sorts		 with [54] duplicates.
392) Found the word: 123125Of		 with [1] duplicates.
393) Found the word: 130131The		 with [1] duplicates.
394) Found the word: 132135The		 with [1] duplicates.
395) Found the word: illuminated		 with [137] duplicates.
396) Found the word: bodies		 with [300] duplicates.
397) Found the word: shadow		 with [579] duplicates.
398) Found the word: room		 with [1834] duplicates.
399) Found the word: 137140Light		 with [1] duplicates.
400) Found the word: 141145The		 with [1] duplicates.
401) Found the word: strength		 with [398] duplicates.
402) Found the word: 148149On		 with [1] duplicates.
403) Found the word: intensity		 with [27] duplicates.
404) Found the word: proportion		 with [353] duplicates.
405) Found the word: SHADEDefinition		 with [1] duplicates.
406) Found the word: 158159Different		 with [1] duplicates.
407) Found the word: primary		 with [305] duplicates.
408) Found the word: 166174On		 with [1] duplicates.
409) Found the word: lights		 with [132] duplicates.
410) Found the word: 180181The		 with [1] duplicates.
411) Found the word: effect		 with [427] duplicates.
412) Found the word: cast		 with [218] duplicates.
413) Found the word: 188191On		 with [1] duplicates.
414) Found the word: back		 with [1538] duplicates.
415) Found the word: ground		 with [405] duplicates.
416) Found the word: proposition		 with [64] duplicates.
417) Found the word: depth		 with [111] duplicates.
418) Found the word: SHADEPrinciples		 with [1] duplicates.
419) Found the word: reflection		 with [82] duplicates.
420) Found the word: reverberation		 with [5] duplicates.
421) Found the word: 207Experiments		 with [1] duplicates.
422) Found the word: 208210AppendixOn		 with [1] duplicates.
423) Found the word: 213		 with [18] duplicates.
424) Found the word: 214On		 with [1] duplicates.
425) Found the word: 216On		 with [1] duplicates.
426) Found the word: 223An		 with [1] duplicates.
427) Found the word: illustration		 with [23] duplicates.
428) Found the word: 225An		 with [1] duplicates.
429) Found the word: indistinctness		 with [6] duplicates.
430) Found the word: Prospettiva		 with [15] duplicates.
431) Found the word: perdimenti		 with [5] duplicates.
432) Found the word: 240250Propositions		 with [1] duplicates.
433) Found the word: 250262		 with [2] duplicates.
434) Found the word: V		 with [125] duplicates.
435) Found the word: reciprocal		 with [6] duplicates.
436) Found the word: colours		 with [115] duplicates.
437) Found the word: placed		 with [543] duplicates.
438) Found the word: 272The		 with [1] duplicates.
439) Found the word: 274On		 with [1] duplicates.
440) Found the word: 275		 with [16] duplicates.
441) Found the word: 276On		 with [1] duplicates.
442) Found the word: 284286On		 with [1] duplicates.
443) Found the word: VI		 with [88] duplicates.
444) Found the word: COLOUR		 with [6] duplicates.
445) Found the word: 289291An		 with [1] duplicates.
446) Found the word: 292An		 with [1] duplicates.
447) Found the word: 300307		 with [2] duplicates.
448) Found the word: VII		 with [82] duplicates.
449) Found the word: PROPORTIONS		 with [2] duplicates.
450) Found the word: MOVEMENTS		 with [2] duplicates.
451) Found the word: front		 with [817] duplicates.
452) Found the word: foot		 with [461] duplicates.
453) Found the word: 328331On		 with [1] duplicates.
454) Found the word: central		 with [157] duplicates.
455) Found the word: torso		 with [15] duplicates.
456) Found the word: figure		 with [344] duplicates.
457) Found the word: 335		 with [13] duplicates.
458) Found the word: 336The		 with [1] duplicates.
459) Found the word: 345349The		 with [1] duplicates.
460) Found the word: 355361The		 with [1] duplicates.
461) Found the word: vary		 with [136] duplicates.
462) Found the word: 375379On		 with [1] duplicates.
463) Found the word: hair		 with [477] duplicates.
464) Found the word: curls		 with [22] duplicates.
465) Found the word: 390392		 with [2] duplicates.
466) Found the word: BOTANY		 with [1] duplicates.
467) Found the word: PAINTERS		 with [7] duplicates.
468) Found the word: Classification		 with [4] duplicates.
469) Found the word: trees		 with [243] duplicates.
470) Found the word: thickness		 with [109] duplicates.
471) Found the word: branches		 with [211] duplicates.
472) Found the word: trunk		 with [103] duplicates.
473) Found the word: insertion		 with [42] duplicates.
474) Found the word: 420422The		 with [1] duplicates.
475) Found the word: transparency		 with [8] duplicates.
476) Found the word: 435The		 with [1] duplicates.
477) Found the word: 436440The		 with [1] duplicates.
478) Found the word: spectator		 with [28] duplicates.
479) Found the word: 441443The		 with [1] duplicates.
480) Found the word: 444448The		 with [1] duplicates.
481) Found the word: 450451The		 with [1] duplicates.
482) Found the word: groups		 with [139] duplicates.
483) Found the word: 454457On		 with [1] duplicates.
484) Found the word: landscapes		 with [8] duplicates.
485) Found the word: 458464On		 with [1] duplicates.
486) Found the word: wind		 with [153] duplicates.
487) Found the word: 470473Light		 with [1] duplicates.
488) Found the word: 479		 with [25] duplicates.
489) Found the word: 481		 with [41] duplicates.
490) Found the word: IX		 with [57] duplicates.
491) Found the word: PAINTINGHow		 with [1] duplicates.
492) Found the word: artistic		 with [20] duplicates.
493) Found the word: 486		 with [9] duplicates.
494) Found the word: 487The		 with [1] duplicates.
495) Found the word: anatomical		 with [55] duplicates.
496) Found the word: 488		 with [7] duplicates.
497) Found the word: 490Industry		 with [1] duplicates.
498) Found the word: conditions		 with [469] duplicates.
499) Found the word: 491493The		 with [1] duplicates.
500) Found the word: company		 with [290] duplicates.
501) Found the word: 493		 with [10] duplicates.
502) Found the word: power		 with [1075] duplicates.
503) Found the word: 498501A		 with [1] duplicates.
504) Found the word: onesided		 with [4] duplicates.
505) Found the word: 502How		 with [1] duplicates.
506) Found the word: exercises		 with [34] duplicates.
507) Found the word: STUDIOINSTRUMENTS		 with [2] duplicates.
508) Found the word: JUDGING		 with [4] duplicates.
509) Found the word: PICTUREOn		 with [1] duplicates.
510) Found the word: windows		 with [115] duplicates.
511) Found the word: 510512On		 with [1] duplicates.
512) Found the word: 513520On		 with [1] duplicates.
513) Found the word: 531		 with [18] duplicates.
514) Found the word: limitations		 with [28] duplicates.
515) Found the word: 533535On		 with [1] duplicates.
516) Found the word: 538		 with [18] duplicates.
517) Found the word: 539The		 with [1] duplicates.
518) Found the word: 540547III		 with [1] duplicates.
519) Found the word: PRACTICAL		 with [2] duplicates.
520) Found the word: PERSPECTIVEGradations		 with [1] duplicates.
521) Found the word: 549554The		 with [1] duplicates.
522) Found the word: lighting		 with [36] duplicates.
523) Found the word: background		 with [98] duplicates.
524) Found the word: 562565On		 with [1] duplicates.
525) Found the word: sketching		 with [3] duplicates.
526) Found the word: portraits		 with [9] duplicates.
527) Found the word: 573Of		 with [1] duplicates.
528) Found the word: suggestions		 with [23] duplicates.
529) Found the word: 582		 with [11] duplicates.
530) Found the word: imaginary		 with [18] duplicates.
531) Found the word: 585The		 with [1] duplicates.
532) Found the word: gestures		 with [28] duplicates.
533) Found the word: 593600V		 with [1] duplicates.
534) Found the word: 605		 with [7] duplicates.
535) Found the word: 611VI		 with [1] duplicates.
536) Found the word: MATERIALSOf		 with [1] duplicates.
537) Found the word: 612617On		 with [1] duplicates.
538) Found the word: 628The		 with [1] duplicates.
539) Found the word: 629634On		 with [1] duplicates.
540) Found the word: varnishes		 with [3] duplicates.
541) Found the word: PHILOSOPHY		 with [3] duplicates.
542) Found the word: PAINTINGThe		 with [1] duplicates.
543) Found the word: art		 with [130] duplicates.
544) Found the word: 652Painting		 with [1] duplicates.
545) Found the word: superior		 with [88] duplicates.
546) Found the word: 655		 with [6] duplicates.
547) Found the word: history		 with [541] duplicates.
548) Found the word: STUDIES		 with [2] duplicates.
549) Found the word: DECORATIONS		 with [1] duplicates.
550) Found the word: Madonna		 with [9] duplicates.
